size             normal          optimize
20byte           148650          48989 
40byte           153824          72597 
60byte           158230          72837 
80byte           163239          96015 
100byte          168412          119193 
120byte          172652          119433 
140byte          177826          142611 
160byte          182471          165655 
180byte          187240          166029 
200byte          192414          189207 
220byte          196820          189447 
240byte          201828          201943 
260byte          207014          207129 
280byte          211254          211369 
300byte          216429          216544 

size             normal          optimize
28byte           150512          49085 
60byte           158230          72837 
92byte           165948          96159 
124byte          173666          119481 
156byte          181383          142803 
188byte          189102          166125 
220byte          196820          189447 
252byte          204538          204653 
284byte          212268          212383 

